PROVIDER_ID,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_3B,std_OP_8,std_PC_01,std_SEP_1,MORT_30_AMI_DEN,MORT_30_CABG_DEN,MORT_30_COPD_DEN,MORT_30_HF_DEN,MORT_30_PN_DEN,MORT_30_STK_DEN,PSI_4_SURG_COMP_DEN,COMP_HIP_KNEE_DEN,PSI_90_SAFETY_DEN,EDAC_30_AMI_DEN,EDAC_30_HF_DEN,EDAC_30_PN_DEN,OP_32_DEN,READM_30_CABG_DEN,READM_30_COPD_DEN,READM_30_HIP_KNEE_DEN,READM_30_HOSP_WIDE_DEN,OP_35_ADM_DEN,OP_35_ED_DEN,OP_36_DEN,HCP_COVID_19_DEN,IMM_3_DEN,OP_10_DEN,OP_13_DEN,OP_18B_DEN,OP_22_DEN,OP_23_DEN,OP_29_DEN,OP_3B_DEN,OP_8_DEN,PC_01_DEN,SEP_1_DEN
340107,-1.6068386484437638,,-0.8187663993634202,-1.7908563955996635,-1.992445245490702,-2.2031455115376133,,,0.5434044828324114,-2.9712053802140557,,,,-0.4766188191697652,0.1761494319298604,,-1.721243891185001,1.0696358126947796,0.394297669578499,,-0.31347352073915613,,-1.3003855787913567,0.42889741231652795,-0.07350436365659982,-0.2528649256051781,0.6170527831058912,0.6594486116443187,0.6303321834134695,1.1999324460578866,0.4797037269610338,-0.12453572842783647,0.658168257371859,0.883622160776737,0.5517872960732615,1.103374874202614,0.6115450089057394,0.7633750481808109,-1.2150881405217901,-1.5734668893582604,0.2424094782954586,0.6188395243543933,,,-0.15653846785685144,-0.09749685947862005,27.0,,33.0,138.0,89.0,78.0,,,400.392082145468,,148.0,76.0,45.0,,32.0,,441.0,31.0,31.0,88.0,801.0,903.0,377.0,45.0,378.0,26212.0,16.0,36.0,,,30.0,92.0
340109,-0.048824373681573635,,-1.186020455298858,-0.6044433709180094,-1.363626492003628,-0.11455973499751979,-0.011305546130422794,,1.0764562265217992,1.0784381521541675,-0.8976762973691677,,-0.8866916167494296,0.7666919131094114,0.06460479007708292,,0.032909288700421514,0.5807566410912908,0.394297669578499,,-1.1810140555829394,,-0.2658511622392856,,,1.1043929656773148,0.6170527831058912,0.6594486116443187,-0.24337149938743974,0.12448675029837698,-0.5584226908628778,-0.12453572842783647,-0.3904222946836028,0.3614964838437382,-0.8529441361413789,0.014761294211125991,-0.24958324567515663,0.24733921900481448,0.2193077850412421,0.15967179233000334,-0.5709733186341159,-0.937160918686536,,0.4849991707875489,0.5836648587234035,-1.0348221636009856,52.0,,97.0,313.0,216.0,104.0,25.0,,780.155348658039,,346.0,205.0,434.0,,103.0,,1103.0,,,222.0,1056.0,936.0,906.0,96.0,3271.0,43703.0,17.0,92.0,,84.0,39.0,208.0
340113,0.9898518094932202,-0.4100857110880133,0.7237006355654234,0.7883023537082814,-0.06668781293653031,0.10529139937512194,-0.8947053622961753,0.6974533616519706,-0.6999177779718937,-0.14133399614951414,0.14055416344642485,-1.4226323973999162,0.22496792354868275,0.35015126168593086,0.1761494319298604,-0.4952070551720219,-0.6906263154729423,-0.19768942446195692,-2.365850392600725,0.6925876633527184,1.074591335010876,-1.9468014813297083,0.7686832543127823,0.13665185692103862,0.5102067594987483,-0.9314938712464241,-0.37335831585840773,-0.40006330492594144,-1.1170751821883491,-0.9509589454611327,-0.5584226908628778,-0.12453572842783647,0.13387298134412812,-1.2048805469552581,0.47151692851813914,0.6679294422060188,-0.16947829176065504,0.5913631051221453,-1.5419125286247601,-1.1401822189361948,-3.112794559039036,-0.37134257576256186,,,-0.15653846785685144,-1.9135646362157033,176.0,101.0,143.0,447.0,411.0,385.0,372.0,319.0,7067.956196640307,228.0,514.0,396.0,1137.0,97.0,154.0,300.0,5604.0,1838.0,1838.0,1584.0,10984.0,12164.0,1987.0,119.0,366.0,138245.0,11.0,161.0,,,264.0,115.0
340114,1.5091899010806178,1.1367735167946478,0.944053069126679,1.252550928583711,0.5228297684576044,1.424398205610977,-0.08777616218725612,1.4270216929095032,-0.3371076906440381,-0.7495937074369502,0.44337138118430597,0.4125077685302262,0.18026311629808853,-0.268348493458025,0.23192175285624916,0.566570597902968,0.5250817636323027,0.39648679948689886,-1.6502564505542598,-0.061678021465864125,0.8143291745577431,0.5085991496499693,0.19394191178385708,-0.7400848092654282,-0.07350436365659982,0.7650784928566915,0.6170527831058912,0.6594486116443187,0.6303321834134695,0.12448675029837698,0.4797037269610338,0.8763969545332059,1.1824635333995899,0.3614964838437382,0.9330715419600917,1.103374874202614,0.8919123476064936,0.017989961593260356,-0.9245775733191508,0.15967179233000334,-1.9435567884527727,0.4773849386233996,,,0.5836648587234035,-0.331828185509211,408.0,234.0,160.0,951.0,436.0,350.0,228.0,652.0,5414.991889463117,522.0,109.0,422.0,763.0,229.0,179.0,616.0,6076.0,546.0,546.0,2226.0,12685.0,22758.0,862.0,286.0,384.0,84081.0,19.0,167.0,,,68.0,128.0
340115,-0.1353807222794732,0.5742792521100438,0.5767990131912412,0.5819696537636456,0.16911921962112403,-0.9939642724880852,-0.8759395669448048,1.609413775723891,0.060587982003803525,-0.01773041845474114,0.34387429535614505,1.0873226596428878,0.5885670225201834,0.5457991434151415,1.4031404923104116,-0.13440882354459813,0.21379318974376246,-0.009658973845230415,-1.4458010385409827,-0.9236959469728141,-0.48698162770791137,-1.0024166232606018,1.228476328335925,-0.22865508732332276,0.2767223102366088,1.1043929656773148,0.6170527831058912,0.6594486116443187,0.6303321834134695,1.1999324460578866,0.4797037269610338,0.8763969545332059,1.1824635333995899,0.3614964838437382,0.2507734177415526,1.0489441952030394,0.5314400549912356,0.13266459029903743,-0.43434099116469665,-1.1401822189361948,0.8016101511845409,0.6188395243543933,,-0.5672465040894115,0.09019597433656683,0.37116579258256316,303.0,118.0,261.0,823.0,822.0,333.0,123.0,525.0,4174.072328793646,320.0,929.0,845.0,730.0,116.0,290.0,502.0,4462.0,375.0,375.0,1381.0,5297.0,5081.0,2018.0,331.0,100234.0,127910.0,22.0,106.0,,152.0,54.0,265.0
340116,0.12428832351422554,0.43365568593889275,-3.1691923573502208,-2.7193535453505246,-0.5383018780518346,-0.2244853021838391,-0.5953909264418196,-1.1264674664919248,-1.2483191792020756,-0.2925857425391706,-0.287715901640007,,-0.5812087672037016,0.36908492765972545,0.2876940737826379,-0.5519039201420457,-0.26575947813858336,0.10315929652480549,0.8032084936050511,-1.8934661131681345,0.6408210675889879,,-0.6106959677566427,0.5750201900142733,-0.19024658828766902,0.42576402003606845,-0.37335831585840773,-0.40006330492594144,-0.24337149938743974,-0.9509589454611327,-0.5584226908628778,-1.1254684113888789,-0.3904222946836028,-1.7270062238882569,-1.3747015252496744,-1.7814511127748294,0.35120390868360657,-0.2686966101711819,-0.833793021068326,0.5929564627520694,,,,-0.7610812336720095,0.5836648587234035,0.664079950120802,178.0,74.0,94.0,209.0,302.0,91.0,45.0,31.0,1079.963902067427,181.0,229.0,304.0,235.0,74.0,94.0,,1303.0,30.0,30.0,262.0,1227.0,2342.0,616.0,375.0,416.0,31310.0,,,,92.0,25.0,118.0
340119,0.2974010207100247,,-0.010807476305458193,0.6851360037359635,-0.42039836177300743,-0.7741131381154435,,0.5150612788375827,,-0.10880673886141592,,,,1.0696305686901246,0.12037711100347168,,0.5503213777313736,0.36264131837588803,-0.9346625085077931,,-0.4002275742235434,-0.24690873680531558,-0.3807994307450713,,,0.42576402003606845,0.6170527831058912,-0.40006330492594144,0.6303321834134695,0.12448675029837698,0.4797037269610338,-0.12453572842783647,-0.3904222946836028,0.883622160776737,-0.7325385848086965,0.06919197321070045,-2.1120234241873233,2.0247959639443573,0.3645630686425618,0.15967179233000334,1.0557922752250333,-0.7249790400900453,0.26030615250788647,0.18040173858632333,0.5836648587234035,-1.210570658123929,30.0,,68.0,189.0,206.0,86.0,,31.0,463.45142770604406,,194.0,190.0,589.0,,77.0,33.0,711.0,,,54.0,602.0,636.0,607.0,72.0,379.0,12127.0,11.0,102.0,13.0,49.0,19.0,76.0
340120,,,-0.8922172105505078,0.3240537788328559,-0.341796017587127,0.16025418296828237,,,,1.0784381521541675,,,,0.5983926600090154,0.45501103656180353,,-1.447814738445067,0.7424628286216756,-0.014613154448051318,,-1.52803026952045,,-0.495747699250857,,,,0.6170527831058912,0.6594486116443187,0.6303321834134695,0.12448675029837698,0.4797037269610338,0.8763969545332059,0.13387298134412812,0.3614964838437382,0.5718548879620421,0.994513516203465,0.5314400549912356,,-0.3617133493640368,-1.1401822189361948,1.1574651248412302,0.6188395243543933,,,0.5836648587234035,0.13683446655197157,,,48.0,144.0,84.0,84.0,,,314.163804660415,,171.0,91.0,87.0,,53.0,,488.0,,,,741.0,684.0,369.0,,364.0,30053.0,30.0,93.0,,,43.0,89.0
340123,,,0.06264333488162936,-0.34652749598721466,0.05121570334229686,-0.6641875709291226,,,,,-1.305758547939741,,-0.20270806581533626,0.5857702160264856,0.45501103656180353,,-0.7663451577701548,1.314075398496524,-0.42352397847460344,,-0.31347352073915613,,1.228476328335925,,,1.1043929656773148,0.6170527831058912,0.6594486116443187,0.6303321834134695,0.12448675029837698,-0.5584226908628778,-0.12453572842783647,-0.3904222946836028,0.3614964838437382,-0.18067980786723012,0.9400828372038905,-0.3296881995896585,,-0.9427344837693157,-2.440036230202393,-0.1642819201693284,0.6188395243543933,0.29529969022597935,,0.5836648587234035,-1.3863191526468728,,,25.0,73.0,119.0,38.0,,,257.41771265628,,86.0,114.0,238.0,,28.0,,438.0,,,91.0,1134.0,1592.0,368.0,,339.0,32785.0,27.0,75.0,17.0,,51.0,130.0
340126,0.2974010207100247,,-0.5984139658021586,-0.7076097208903273,-2.267553450141302,-2.6428477802828967,-0.3026445189604454,-2.220819963378251,,1.0784381521541675,-0.13774927952219934,,-2.8849965008509963,-0.9794128378071987,-0.10271217270208333,-1.0467129235167982,-0.33727171808595063,-1.4537328345816898,0.18984225756522383,,0.12029674668272228,-1.3801705664882449,-0.9555407732739997,,,0.42576402003606845,-1.3637694148227066,0.6594486116443187,-1.1170751821883491,0.12448675029837698,-0.5584226908628778,-1.1254684113888789,-2.4876033987945263,-1.2048805469552581,-0.10040944031210665,0.7223601212055932,0.030784093025601523,,-1.378500334573275,-3.306605571046525,0.2932459031035571,0.3359303528924059,,0.06963903596769583,-1.3902106788239428,-0.8590736690780418,64.0,,95.0,328.0,311.0,141.0,28.0,39.0,784.6210347666289,51.0,370.0,297.0,182.0,,108.0,33.0,1123.0,,,190.0,951.0,1591.0,764.0,,382.0,38446.0,21.0,75.0,,56.0,26.0,88.0
