,0
std_HAI_6,0.2586761060523951
std_MORT_30_PN,0.18869598162298687
std_MORT_30_HF,0.1758200549903405
std_EDAC_30_PN,0.15327903158616718
std_H_GLOB_STAR_RATING,0.152218804041776
std_MORT_30_COPD,0.15155321421714982
std_OP_36,0.14929879958345463
std_READM_30_HOSP_WIDE,0.14361098768459882
std_HAI_3,0.13832595376833032
std_HAI_2,0.1331525966759948
std_READM_30_COPD,0.1322380732703486
std_EDAC_30_AMI,0.12998554057227274
std_PSI_90_SAFETY,0.12850266418604314
std_EDAC_30_HF,0.12253736289563787
std_HAI_5,0.12221860991606767
std_OP_32,0.1213407334217002
std_MORT_30_STK,0.1212299871330108
std_H_COMP_1_STAR_RATING,0.12049491325570941
std_COMP_HIP_KNEE,0.11670361418064082
std_HAI_4,0.11306435622440254
std_OP_35_ED,0.11235736224248014
std_HAI_1,0.10710747900734498
std_READM_30_HIP_KNEE,0.10586143238070164
std_MORT_30_AMI,0.10111900031288716
std_MORT_30_CABG,0.09978257470743533
std_OP_35_ADM,0.09883540545499209
std_IMM_3,0.0917768784719757
std_READM_30_CABG,0.09087162000735184
std_PSI_4_SURG_COMP,0.08838071078037733
std_H_COMP_3_STAR_RATING,0.08783893116956237
std_SEP_1,0.08461029979594878
std_H_COMP_7_STAR_RATING,0.08368520689091598
std_OP_8,0.07710138433392369
std_H_COMP_6_STAR_RATING,0.07653061654967067
std_OP_10,0.07274234227141536
std_HCP_COVID_19,0.06597383053833888
std_PC_01,0.06068411699593743
std_OP_29,0.05786856373942639
std_OP_23,0.052385039474960614
std_OP_13,0.04973103361634837
std_OP_18B,0.047642603968044095
std_H_COMP_2_STAR_RATING,0.04437912797179521
std_OP_22,0.0423000730179371
std_H_COMP_5_STAR_RATING,0.03142598689401819
std_H_INDI_STAR_RATING,0.0194715845052619
std_OP_3B,0.012765223250229999
