,0
std_H_COMP_7_STAR_RATING,0.22800828509130194
std_MORT_30_PN,0.09566094806298067
std_H_GLOB_STAR_RATING,0.08676996701081888
std_EDAC_30_HF,0.040597130582857285
std_READM_30_HOSP_WIDE,0.04016352589341974
std_HAI_6,0.0388433215004495
std_EDAC_30_PN,0.03873348628586702
std_MORT_30_HF,0.03793533916082282
std_PSI_90_SAFETY,0.036857312458174446
std_READM_30_COPD,0.02453825068558393
std_MORT_30_AMI,0.021091524115867857
std_MORT_30_COPD,0.018387910828311777
std_OP_32,0.017487761497591726
std_MORT_30_STK,0.017403789965298153
std_HAI_1,0.01431083453440593
std_COMP_HIP_KNEE,0.01342931358141072
std_SEP_1,0.013308324086954192
std_HAI_2,0.013025032745971757
std_PSI_4_SURG_COMP,0.012748177503238192
std_HAI_5,0.012466887139243614
std_IMM_3,0.012456949062304767
std_EDAC_30_AMI,0.01228565445686164
std_HAI_3,0.011528883316438261
std_READM_30_HIP_KNEE,0.011393448048153522
std_OP_10,0.01103881980984098
std_H_COMP_1_STAR_RATING,0.011022816111052075
std_HCP_COVID_19,0.010065587472963137
std_OP_29,0.009978538122781898
std_OP_18B,0.008219999953539142
std_OP_36,0.008197444368288134
std_H_COMP_6_STAR_RATING,0.006874099742602409
std_OP_13,0.006176087999606579
std_OP_35_ED,0.006150933168155281
std_H_COMP_3_STAR_RATING,0.005249219322328372
std_OP_22,0.005109357975994254
std_PC_01,0.005066551202815977
std_H_INDI_STAR_RATING,0.00501142152296434
std_OP_23,0.0050014380458712334
std_MORT_30_CABG,0.004996632323279264
std_OP_35_ADM,0.004563952708359353
std_H_COMP_5_STAR_RATING,0.0036967490753348647
std_OP_8,0.003560990918151331
std_H_COMP_2_STAR_RATING,0.0031369402808796784
std_READM_30_CABG,0.0030014392644649667
std_HAI_4,0.0028355891780731976
std_OP_3B,0.0016133338183253354
