,0
std_H_COMP_7_STAR_RATING,0.16807865924947185
std_H_GLOB_STAR_RATING,0.13841455715426373
std_MORT_30_PN,0.09769384900682332
std_READM_30_HOSP_WIDE,0.05252609595731611
std_HAI_6,0.046060446873527866
std_MORT_30_HF,0.042032186198013514
std_PSI_90_SAFETY,0.04068487251457559
std_H_COMP_1_STAR_RATING,0.039260637100315764
std_EDAC_30_PN,0.03837120885596525
std_EDAC_30_HF,0.03553648211925569
std_MORT_30_AMI,0.03208036946878578
std_MORT_30_STK,0.02248627068917204
std_H_COMP_6_STAR_RATING,0.022339742381125596
std_READM_30_COPD,0.020925565205085546
std_MORT_30_COPD,0.019106889816500935
std_OP_32,0.016545547440181947
std_HAI_5,0.015773033321721457
std_COMP_HIP_KNEE,0.013660086551960458
std_HAI_3,0.013088010990528788
std_EDAC_30_AMI,0.013060815367606905
std_HAI_1,0.012967895263240672
std_READM_30_HIP_KNEE,0.012193528539967633
std_OP_36,0.010902758654230654
std_HAI_2,0.01030596822758772
std_PSI_4_SURG_COMP,0.010048671636058732
std_IMM_3,0.008329724986012678
std_H_COMP_3_STAR_RATING,0.007890864858764928
std_SEP_1,0.006964295844717809
std_H_COMP_5_STAR_RATING,0.004894668985627246
std_MORT_30_CABG,0.004667967734571341
std_OP_35_ED,0.003343240007372624
std_OP_22,0.0030229017870042826
std_OP_10,0.0028719126077577915
std_HCP_COVID_19,0.002609977912198633
std_OP_29,0.0021449585295131974
std_READM_30_CABG,0.0020845009173252192
std_PC_01,0.001745676139708324
std_H_COMP_2_STAR_RATING,0.0015956104624626065
std_HAI_4,0.0015670233275116273
std_OP_35_ADM,0.0011837821370278853
std_OP_18B,0.0005688676171087817
std_OP_8,0.0001770618048176692
std_OP_13,0.00010504814398272048
std_OP_3B,8.77676132312192e-05
std_OP_23,0.0
std_H_INDI_STAR_RATING,0.0
