PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score
010001,7,0.1428571428571428,-0.0634105807662989,-0.0683912357439267,0.7043713990035915,0.0070710636244933,0.2308674186224573,-0.1468673734802767,0.1377785432470238,-0.6776239518272584
010005,6,0.1666666666666666,-1.0830997704036995,-0.0683912357439267,0.7043713990035915,-1.4405873607235988,0.7202630159343831,-0.087719588805179,-0.2551247788493336,-0.4890007182471029
010006,7,0.1428571428571428,-1.0987092050031282,-0.0683912357439267,0.7043713990035915,-1.4627481620018874,-0.2694749210019423,-0.1733309153859108,-1.0970880946224175,-0.7549117237256937
010007,3,0.3333333333333333,-2.553142165980789,-0.0683912357439267,0.7043713990035915,-3.5276147409616683,-0.470902742218635,0.393999075851622,0.1997672580618048,-1.80487920849877
010008,0,,,-0.0683912357439267,0.7043713990035915,,-0.0017258693565485,,,-0.4451995303866256
010011,7,0.1428571428571428,-0.404179431506905,-0.0683912357439267,0.7043713990035915,-0.4767203725733137,-0.4021907147552279,0.3466230597877495,-0.030498095761645,-1.0462861936468997
010012,3,0.3333333333333333,-1.147890604626948,-0.0683912357439267,0.7043713990035915,-1.5325712690919713,-0.1205700137553671,0.3389377536645255,-0.2817576722219766,-0.0945513936773459
010016,7,0.1428571428571428,0.3094658583548111,-0.0683912357439267,0.7043713990035915,0.5364458219531018,-0.6640110582860881,0.0762134154368973,-0.7323469729646799,-0.2785979505047433
010018,0,,,-0.0683912357439267,0.7043713990035915,,0.5499659922372403,0.1835002162723403,,1.7817856854209535
010019,4,0.25,-1.6451479501590989,-0.0683912357439267,0.7043713990035915,-2.238530293316371,0.4152038146027348,-1.286997333241548,0.8583663648999299,-0.4054025513892184
010021,3,0.3333333333333333,-0.360215328534692,-0.0683912357439267,0.7043713990035915,-0.4143042906108648,0.3287168045414188,-0.355110932249972,0.7202685604866292,-1.429796938630314
010022,1,1.0,0.7193356289223164,-0.0683912357439267,0.7043713990035915,1.118340219067053,0.1513423968869749,1.4110119356821584,,-0.3392011162676614
010023,7,0.1428571428571428,-0.7040229045009985,-0.0683912357439267,0.7043713990035915,-0.9024098219437084,-0.3020667564078788,-0.8352421326603395,-0.3051218592614589,0.1272500957465533
010024,7,0.1428571428571428,-0.6023867420554201,-0.0683912357439267,0.7043713990035915,-0.758116395791889,-0.0933380617745504,-1.320215055605019,-0.2301214089743929,-0.8478954184267072
010029,7,0.1428571428571428,-0.8724033583939234,-0.0683912357439267,0.7043713990035915,-1.1414604905698296,-0.0687130765174516,-0.265892752492286,0.2134597214750187,-0.5642064737697811
010033,7,0.1428571428571428,-0.0488263400959655,-0.0683912357439267,0.7043713990035915,0.0277763913691524,-0.3122477064205056,-0.4765070929225495,0.4328618878203601,-0.5171131532012667
010034,0,,,-0.0683912357439267,0.7043713990035915,,1.0549818153892572,,,-0.3859260769472938
010035,6,0.1666666666666666,-0.3641551744621141,-0.0683912357439267,0.7043713990035915,-0.419897711827279,0.0075417101341579,0.3585320160107632,0.1390274333473608,0.0504819499660949
010036,4,0.25,-0.4842163698831094,-0.0683912357439267,0.7043713990035915,-0.5903492599606,-0.5189269174698979,0.568522568189751,0.1210715980983686,-1.4944634772789671
010039,7,0.1428571428571428,-0.8729006184997815,-0.0683912357439267,0.7043713990035915,-1.142166453512904,0.4856621435166386,-0.56010587766473,-0.4351054289541387,-0.939488968325165
010040,7,0.1428571428571428,-0.0468090851820186,-0.0683912357439267,0.7043713990035915,0.0306402994108482,0.0355139234044558,-0.4789042064840779,-1.178942585149533,-1.7892363528599786
010044,2,0.5,-0.0727362972565107,-0.0683912357439267,0.7043713990035915,-0.0061687080405743,1.312718253279195,,,-0.3019254070758413
