PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_Std_PatientExp_score,std_weight_Std_Outcomes_Readmission_score,std_weight_Std_Outcomes_Mortality_score,std_weight_Std_Outcomes_Safety_score,std_weight_Std_Process_score,I_Std_PatientExp_score,I_Std_Outcomes_Readmission_score,I_Std_Outcomes_Mortality_score,I_Std_Outcomes_Safety_score,I_Std_Process_score,weight_Std_PatientExp_score,weight_Std_Outcomes_Readmission_score,weight_Std_Outcomes_Mortality_score,weight_Std_Outcomes_Safety_score,weight_Std_Process_score,sum_weight_ave_Std_PatientExp_score,sum_weight_ave_Std_Outcomes_Readmission_score,sum_weight_ave_Std_Outcomes_Mortality_score,sum_weight_ave_Std_Outcomes_Safety_score,sum_weight_ave_Std_Process_score,summary_score
010001,7,0.1428571428571428,-0.0634105807662989,-0.0683912357439267,0.7043713990035915,0.0070710636244933,0.2308674186224573,-0.1468673734802767,0.1377785432470238,-0.6776239518272584,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.015155639757172617,0.05656251756250204,0.0017324105880008585,-0.035982506502667794,-0.10503171253322506,-0.06756365112821734
010005,6,0.1666666666666666,-1.0830997704036995,-0.0683912357439267,0.7043713990035915,-1.4405873607235988,0.7202630159343831,-0.087719588805179,-0.2551247788493336,-0.4890007182471029,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.028063725673426698,0.17646443890392385,-0.3529439033772817,-0.021491299257268854,-0.07579511132830095,-0.3018296007323544
010006,7,0.1428571428571428,-1.0987092050031282,-0.0683912357439267,0.7043713990035915,-1.4627481620018874,-0.2694749210019423,-0.1733309153859108,-1.0970880946224175,-0.7549117237256937,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.12067969040846593,-0.06602135564547587,-0.3583732996904624,-0.04246607426954815,-0.11701131717748252,-0.7045517371914348
010007,3,0.3333333333333333,-2.553142165980789,-0.0683912357439267,0.7043713990035915,-3.5276147409616683,-0.470902742218635,0.393999075851622,0.1997672580618048,-1.80487920849877,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.021974398386798526,-0.11537117184356557,-0.8642656115356087,0.0965297735836474,-0.27975627731730934,-1.1408888887260376
010008,0,,,-0.0683912357439267,0.7043713990035915,,-0.0017258693565485,,,-0.4451995303866256,0.11,0.245,0.245,0.245,0.155,1,0,1,1,0,,0.6124999999999999,,,0.38749999999999996,,-0.0010570949808859562,,,-0.17251481802481738,-0.17357191300570335
010011,7,0.1428571428571428,-0.404179431506905,-0.0683912357439267,0.7043713990035915,-0.4767203725733137,-0.4021907147552279,0.3466230597877495,-0.030498095761645,-1.0462861936468997,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.00335479053378095,-0.09853672511503082,-0.11679649128046185,0.08492264964799863,-0.16217436001526944,-0.29593971729654445
010012,3,0.3333333333333333,-1.147890604626948,-0.0683912357439267,0.7043713990035915,-1.5325712690919713,-0.1205700137553671,0.3389377536645255,-0.2817576722219766,-0.0945513936773459,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.03099334394441743,-0.02953965337006494,-0.37547996092753294,0.08303974964780875,-0.014655466019988614,-0.3676286746141952
010016,7,0.1428571428571428,0.3094658583548111,-0.0683912357439267,0.7043713990035915,0.5364458219531018,-0.6640110582860881,0.0762134154368973,-0.7323469729646799,-0.2785979505047433,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.08055816702611479,-0.16268270928009157,0.13142922637850993,0.01867228678203984,-0.04318268232823521,-0.13632204547389182
010018,0,,,-0.0683912357439267,0.7043713990035915,,0.5499659922372403,0.1835002162723403,,1.7817856854209535,0.11,0.245,0.245,0.245,0.155,1,0,1,0,0,,0.3798449612403101,,0.3798449612403101,0.24031007751937983,,0.20890181100484323,,0.06970163253755562,0.42818105618643065,0.7067844997288295
010019,4,0.25,-1.6451479501590989,-0.0683912357439267,0.7043713990035915,-2.238530293316371,0.4152038146027348,-1.286997333241548,0.8583663648999299,-0.4054025513892184,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.09442030013899229,0.10172493457767003,-0.5484399218625109,-0.3153143466441793,-0.06283739546532885,-0.7304464292553566
010021,3,0.3333333333333333,-0.360215328534692,-0.0683912357439267,0.7043713990035915,-0.4143042906108648,0.3287168045414188,-0.355110932249972,0.7202685604866292,-1.429796938630314,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.07922954165352922,0.0805356171126476,-0.10150455119966188,-0.08700217840124314,-0.22161852548769867,-0.2503600963224269
010022,1,1.0,0.7193356289223164,-0.0683912357439267,0.7043713990035915,1.118340219067053,0.1513423968869749,1.4110119356821584,,-0.3392011162676614,0.11,0.245,0.245,0.245,0.155,1,0,0,0,0,,0.2752808988764045,0.2752808988764045,0.2752808988764045,0.17415730337078653,,0.04166167105315601,0.3078577007544135,0.38842463397992005,-0.059074351709536545,0.678869654077953
010023,7,0.1428571428571428,-0.7040229045009985,-0.0683912357439267,0.7043713990035915,-0.9024098219437084,-0.3020667564078788,-0.8352421326603395,-0.3051218592614589,0.1272500957465533,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.03356340451876048,-0.0740063553199303,-0.22109040637620855,-0.20463432250178318,0.019723764840715762,-0.5135707238759667
010024,7,0.1428571428571428,-0.6023867420554201,-0.0683912357439267,0.7043713990035915,-0.758116395791889,-0.0933380617745504,-1.320215055605019,-0.2301214089743929,-0.8478954184267072,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.02531335498718322,-0.022867825134764846,-0.1857385169690128,-0.3234526886232296,-0.13142378985613962,-0.6887961755703302
010029,7,0.1428571428571428,-0.8724033583939234,-0.0683912357439267,0.7043713990035915,-1.1414604905698296,-0.0687130765174516,-0.265892752492286,0.2134597214750187,-0.5642064737697811,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.023480569362252058,-0.01683470374677564,-0.2796578201896082,-0.06514372436061007,-0.08745200343431607,-0.42560768236905794
010033,7,0.1428571428571428,-0.0488263400959655,-0.0683912357439267,0.7043713990035915,0.0277763913691524,-0.3122477064205056,-0.4765070929225495,0.4328618878203601,-0.5171131532012667,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.047614807660239615,-0.07650068807302386,0.006805215885442338,-0.11674423776602462,-0.08015253874619634,-0.21897744103956285
010034,0,,,-0.0683912357439267,0.7043713990035915,,1.0549818153892572,,,-0.3859260769472938,0.11,0.245,0.245,0.245,0.155,1,0,1,1,0,,0.6124999999999999,,,0.38749999999999996,,0.64617636192592,,,-0.14954635481707634,0.49663000710884364
010035,6,0.1666666666666666,-0.3641551744621141,-0.0683912357439267,0.7043713990035915,-0.419897711827279,0.0075417101341579,0.3585320160107632,0.1390274333473608,0.0504819499660949,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.01529301766820969,0.0018477189828686855,-0.10287493939768334,0.08784034392263698,0.007824702244744708,0.009930843420776722
010036,4,0.25,-0.4842163698831094,-0.0683912357439267,0.7043713990035915,-0.5903492599606,-0.5189269174698979,0.568522568189751,0.1210715980983686,-1.4944634772789671,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.013317875790820546,-0.127137094780125,-0.144635568690347,0.139288029206489,-0.2316418389782399,-0.35080859745140236
010039,7,0.1428571428571428,-0.8729006184997815,-0.0683912357439267,0.7043713990035915,-1.142166453512904,0.4856621435166386,-0.56010587766473,-0.4351054289541387,-0.939488968325165,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.04786159718495525,0.11898722516157646,-0.27983078111066145,-0.13722594002785884,-0.14562079009040058,-0.49155188325229965
010040,7,0.1428571428571428,-0.0468090851820186,-0.0683912357439267,0.7043713990035915,0.0306402994108482,0.0355139234044558,-0.4789042064840779,-1.178942585149533,-1.7892363528599786,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,-0.12968368436644864,0.00870091123409167,0.007506873355657809,-0.11733153058859908,-0.2773316346932967,-0.508139065058595
010044,2,0.5,-0.0727362972565107,-0.0683912357439267,0.7043713990035915,-0.0061687080405743,1.312718253279195,,,-0.3019254070758413,0.11,0.245,0.245,0.245,0.155,1,0,0,1,0,,0.3798449612403101,0.3798449612403101,,0.24031007751937983,,0.49862941403628336,-0.002343152666574734,,-0.07255571797946574,0.42373054339024285
010045,3,0.3333333333333333,0.2590424685863204,-0.0683912357439267,0.7043713990035915,0.4648594545341236,-0.2371989903357489,-0.480645346081642,1.876022931402344,-0.0145211781815754,0.11,0.245,0.245,0.245,0.155,0,0,0,0,0,0.11,0.245,0.245,0.245,0.155,0.20636252245425785,-0.05811375263225848,0.11389056636086027,-0.11775810979000229,-0.002250782618144187,0.14213044377471315
