PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
030024,1,8,10,7,6,11,5,2,3) # of groups=5
030030,1,8,6,5,6,8,5,2,3) # of groups=5
030036,1,8,11,7,8,10,5,2,3) # of groups=5
030037,1,8,3,0,5,7,4,1,2) # of groups=4
030038,1,8,8,6,7,9,5,2,3) # of groups=5
030043,1,8,8,5,5,10,5,2,3) # of groups=5
030055,1,8,10,6,7,11,5,2,3) # of groups=5
030061,1,8,9,7,7,9,5,2,3) # of groups=5
030062,1,8,10,6,6,12,5,2,3) # of groups=5
030064,1,8,10,7,7,9,5,2,3) # of groups=5
030065,1,8,8,7,7,9,5,2,3) # of groups=5
030069,1,8,11,7,6,11,5,2,3) # of groups=5
030071,0,8,3,2,2,4,3,0,1) # of groups=3
030073,0,8,2,1,2,8,2,0,
030074,0,0,0,0,0,1,0,0,
030078,0,8,1,0,2,3,2,0,
030083,1,8,6,4,5,8,5,2,3) # of groups=5
030084,0,8,2,1,2,4,2,0,
030085,1,8,11,7,8,10,5,2,3) # of groups=5
030087,1,8,11,7,8,9,5,2,3) # of groups=5
030088,1,8,9,5,7,10,5,2,3) # of groups=5
030089,1,8,10,7,7,9,5,2,3) # of groups=5
030092,1,8,9,7,7,8,5,2,3) # of groups=5
030093,1,8,10,6,8,10,5,2,3) # of groups=5
030094,1,8,9,7,7,10,5,2,3) # of groups=5
030101,1,8,7,6,3,9,5,2,3) # of groups=5
030103,1,8,11,7,7,10,5,2,3) # of groups=5
030105,1,8,6,5,4,2,4,2,2) # of groups=4
030107,0,8,3,0,2,2,2,0,
030108,0,8,3,0,2,2,2,0,
030110,1,8,8,6,7,9,5,2,3) # of groups=5
030111,1,8,5,4,5,7,5,2,3) # of groups=5
030112,0,8,3,0,2,2,2,0,
030113,0,8,2,0,0,4,2,0,
030114,1,8,8,5,6,9,5,2,3) # of groups=5
030115,1,8,7,6,7,9,5,2,3) # of groups=5
030117,1,8,6,3,2,10,4,1,2) # of groups=4
030119,1,8,10,6,8,10,5,2,3) # of groups=5
030121,1,8,9,7,8,9,5,2,3) # of groups=5
030122,1,8,8,5,6,10,5,2,3) # of groups=5
030123,1,8,8,6,7,8,5,2,3) # of groups=5
03012F,1,8,6,5,4,6,5,2,3) # of groups=5
030130,1,8,6,3,4,10,5,2,3) # of groups=5
030131,0,8,3,0,2,2,2,0,
030134,0,8,3,1,1,6,3,0,1) # of groups=3
030136,0,0,1,0,1,7,1,0,
030138,1,8,5,0,4,5,4,1,2) # of groups=4
030139,0,8,4,2,2,8,3,0,1) # of groups=3
03013F,1,8,6,5,4,5,5,2,3) # of groups=5
030146,1,8,4,2,4,8,4,1,2) # of groups=4
030147,0,8,5,2,2,7,3,0,1) # of groups=3
030148,0,8,3,1,2,10,3,0,1) # of groups=3
03033F,1,8,4,3,0,4,4,1,2) # of groups=4
031300,0,0,2,1,0,5,1,0,
031301,0,0,1,0,0,5,1,0,
031302,0,0,2,0,0,2,0,0,
031304,0,0,1,0,0,7,1,0,
031305,0,0,1,0,0,1,0,0,
031308,0,0,0,0,0,2,0,0,
031309,0,0,1,0,0,4,1,0,
031311,0,8,3,1,0,5,3,0,1) # of groups=3
031312,0,0,1,0,0,3,1,0,
031313,0,0,0,0,0,7,1,0,
031314,1,8,9,3,1,5,4,1,2) # of groups=4
031315,0,0,3,0,0,3,2,0,
031317,0,0,2,1,0,2,0,0,
031318,1,8,6,4,1,6,4,1,2) # of groups=4
031319,0,0,1,0,0,4,1,0,
031320,0,0,0,0,0,1,0,0,
040001,1,8,5,2,3,9,4,1,2) # of groups=4
040002,1,8,6,3,2,9,4,1,2) # of groups=4
040004,1,8,11,7,8,10,5,2,3) # of groups=5
040007,1,8,11,7,7,9,5,2,3) # of groups=5
040010,1,8,9,7,8,11,5,2,3) # of groups=5
040011,1,8,5,3,0,8,4,1,2) # of groups=4
040014,1,8,10,6,8,10,5,2,3) # of groups=5
040015,0,0,5,2,2,8,2,0,
040016,1,8,10,6,8,11,5,2,3) # of groups=5
040017,1,8,9,4,3,10,5,2,3) # of groups=5
040018,0,0,0,0,0,5,1,0,
040019,0,8,5,2,1,10,3,0,1) # of groups=3
040020,1,8,11,7,7,11,5,2,3) # of groups=5
040022,1,8,8,6,8,11,5,2,3) # of groups=5
040026,1,8,11,7,7,11,5,2,3) # of groups=5
040027,1,8,11,7,7,11,5,2,3) # of groups=5
040029,1,8,10,6,8,11,5,2,3) # of groups=5
040036,1,8,9,7,7,11,5,2,3) # of groups=5
040039,1,8,8,5,3,8,5,2,3) # of groups=5
040041,1,8,8,6,5,11,5,2,3) # of groups=5
040047,1,0,5,3,0,8,3,1,1) # of groups=3
040050,1,0,5,2,3,8,3,1,1) # of groups=3
040051,1,8,6,3,2,9,4,1,2) # of groups=4
040055,1,8,10,7,6,11,5,2,3) # of groups=5
040062,1,8,11,7,7,11,5,2,3) # of groups=5
040067,0,8,5,2,2,6,3,0,1) # of groups=3
040069,1,8,5,3,3,8,5,2,3) # of groups=5
040071,1,8,10,6,7,11,5,2,3) # of groups=5
040072,1,0,6,3,1,7,3,1,1) # of groups=3
040076,0,0,2,2,1,7,1,0,
040078,1,8,9,7,7,9,5,2,3) # of groups=5
040084,1,8,8,6,5,9,5,2,3) # of groups=5
