PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,7,0.14285714285714285,-0.13510116421092394,-0.021526393483244453,0.7733151893189659,-0.14686737348027676
010005,7,0.14285714285714285,-0.08936128390710334,-0.021526393483244453,0.7733151893189659,-0.08771958880517906
010006,7,0.14285714285714285,-0.15556582312972975,-0.021526393483244453,0.7733151893189659,-0.17333091538591083
010007,2,0.5,0.28315907645045024,-0.021526393483244453,0.7733151893189659,0.393999075851622
010008,0,,,-0.021526393483244453,0.7733151893189659,
010011,7,0.14285714285714285,0.2465224836188383,-0.021526393483244453,0.7733151893189659,0.3466230597877495
010012,4,0.25,0.2405793196591831,-0.021526393483244453,0.7733151893189659,0.3389377536645255
010016,7,0.14285714285714285,0.037410598303984806,-0.021526393483244453,0.7733151893189659,0.07621341543689733
010018,1,1.0,0.1203771110034716,-0.021526393483244453,0.7733151893189659,0.18350021627234034
010019,7,0.14285714285714285,-1.0167809798919365,-0.021526393483244453,0.7733151893189659,-1.286997333241548
010021,2,0.5,-0.2961390712853661,-0.021526393483244453,0.7733151893189659,-0.35511093224997203
010022,1,1.0,1.0696305686901246,-0.021526393483244453,0.7733151893189659,1.4110119356821584
010023,7,0.14285714285714285,-0.6674318214286518,-0.021526393483244453,0.7733151893189659,-0.8352421326603395
010024,7,0.14285714285714285,-1.0424687491501887,-0.021526393483244453,0.7733151893189659,-1.320215055605019
010029,8,0.125,-0.2271452977153576,-0.021526393483244453,0.7733151893189659,-0.26589275249228606
010033,8,0.125,-0.3900165662584759,-0.021526393483244453,0.7733151893189659,-0.4765070929225495
010034,0,,,-0.021526393483244453,0.7733151893189659,
010035,7,0.14285714285714285,0.25573186035502943,-0.021526393483244453,0.7733151893189659,0.35853201601076323
010036,3,0.3333333333333333,0.41812074396851756,-0.021526393483244453,0.7733151893189659,0.568522568189751
010039,8,0.125,-0.45466477630821067,-0.021526393483244453,0.7733151893189659,-0.56010587766473
010040,7,0.14285714285714285,-0.3918702905861283,-0.021526393483244453,0.7733151893189659,-0.4789042064840779
010044,0,,,-0.021526393483244453,0.7733151893189659,
010045,2,0.5,-0.3932167402836494,-0.021526393483244453,0.7733151893189659,-0.48064534608164206
010046,7,0.14285714285714285,0.8639184101356198,-0.021526393483244453,0.7733151893189659,1.1449985928747206
010049,4,0.25,0.17989806500491484,-0.021526393483244453,0.7733151893189659,0.26046877297929116
010051,0,,,-0.021526393483244453,0.7733151893189659,
010052,0,,,-0.021526393483244453,0.7733151893189659,
010055,8,0.125,0.5663174632275049,-0.021526393483244453,0.7733151893189659,0.760160753118589
010056,8,0.125,0.02834827559773609,-0.021526393483244453,0.7733151893189659,0.06449461974864812
010058,2,0.5,0.5671176793836038,-0.021526393483244453,0.7733151893189659,0.7611955396676592
010059,0,,,-0.021526393483244453,0.7733151893189659,
010061,3,0.3333333333333333,-1.434068141209985,-0.021526393483244453,0.7733151893189659,-1.8266054607962907
010062,2,0.5,0.6228900003099925,-0.021526393483244453,0.7733151893189659,0.8333166122868401
010065,3,0.3333333333333333,-0.40762471767058545,-0.021526393483244453,0.7733151893189659,-0.49927678845590173
010069,2,0.5,0.6228900003099925,-0.021526393483244453,0.7733151893189659,0.8333166122868401
010073,2,0.5,0.5950038398467982,-0.021526393483244453,0.7733151893189659,0.7972560759772496
010078,7,0.14285714285714285,-0.38813789124684234,-0.021526393483244453,0.7733151893189659,-0.47407771478853394
010079,6,0.16666666666666666,0.28502389150426977,-0.021526393483244453,0.7733151893189659,0.3964105312058894
010083,6,0.16666666666666666,0.19054647182956375,-0.021526393483244453,0.7733151893189659,0.27423858763148573
010085,7,0.14285714285714285,-0.2284366697007378,-0.021526393483244453,0.7733151893189659,-0.267562669239321
010086,1,1.0,0.2876940737826379,-0.021526393483244453,0.7733151893189659,0.39986343412988307
010087,6,0.16666666666666666,-0.017150231942115495,-0.021526393483244453,0.7733151893189659,0.005658962350116133
010089,5,0.2,0.3416221577741064,-0.021526393483244453,0.7733151893189659,0.46959966165563655
010090,8,0.125,0.09717961755585612,-0.021526393483244453,0.7733151893189659,0.15350275370077907
010091,0,,,-0.021526393483244453,0.7733151893189659,
010092,8,0.125,-0.007445007647772207,-0.021526393483244453,0.7733151893189659,0.01820911580422114
010095,0,,,-0.021526393483244453,0.7733151893189659,
010097,1,1.0,0.0646047900770829,-0.021526393483244453,0.7733151893189659,0.11137914365315951
010099,2,0.5,-0.6004351956635122,-0.021526393483244453,0.7733151893189659,-0.7486065322085479
010100,7,0.14285714285714285,0.21560509668853906,-0.021526393483244453,0.7733151893189659,0.3066427421147872
010101,2,0.5,-2.3091637597931483,-0.021526393483244453,0.7733151893189659,-2.95822117282418
010102,0,,,-0.021526393483244453,0.7733151893189659,
010103,7,0.14285714285714285,-0.09289702281727376,-0.021526393483244453,0.7733151893189659,-0.09229177225509194
010104,8,0.125,0.05150793875752671,-0.021526393483244453,0.7733151893189659,0.09444316269681728
010108,3,0.3333333333333333,0.6551845209802719,-0.021526393483244453,0.7733151893189659,0.8750777481294194
010110,0,,,-0.021526393483244453,0.7733151893189659,
010112,2,0.5,-0.05463046010351469,-0.021526393483244453,0.7733151893189659,-0.042807987063365374
010113,8,0.125,-0.1883363613317591,-0.021526393483244453,0.7733151893189659,-0.21570760558242608
010114,6,0.16666666666666666,-0.6573700217753058,-0.021526393483244453,0.7733151893189659,-0.8222308795615777
010118,3,0.3333333333333333,0.22648122884109326,-0.021526393483244453,0.7733151893189659,0.32070703608285533
